e_node_id,degree,in_degree,out_degree,clustering,pagerank
0,9,5,4,0.7777777777777778,0.0006932756841483206
1,40,27,13,0.17550143266475646,0.000816954763474023
2,10,7,3,0.0,0.00026051714878199707
3,56,35,21,0.26605504587155965,0.0021083008020725312
4,19,6,13,0.5718562874251497,0.0004232112169802619
5,25,13,12,0.4302721088435374,0.000730673881649979
6,58,38,20,0.0752442996742671,0.001088261652071228
7,16,6,10,0.4692982456140351,0.0003811054711227344
8,17,5,12,0.44656488549618323,0.00031714539145033207
9,14,5,9,0.6337209302325582,0.00031028664259095907
10,22,15,7,0.6684782608695652,0.00042770460818974043
11,8,3,5,0.4423076923076923,0.00013267189953918392
12,13,8,5,0.1509433962264151,0.0006782083123331768
13,6,0,6,0.2,6.45240993381665e-05
14,19,11,8,0.23053892215568864,0.0006771960010525718
15,14,4,10,0.46551724137931033,0.00011594175406742959
16,21,10,11,0.21568627450980393,0.00035628476103875535
17,11,3,8,0.2,0.00010916175175572411
18,2,0,2,1.0,6.45240993381665e-05
19,5,2,3,1.0,0.00026734265139587203
20,7,3,4,0.2,0.00029476658020396876
21,5,3,2,0.0,0.00016701141211653602
22,12,5,7,0.44047619047619047,0.00015529900121614434
23,21,15,6,0.05502392344497608,0.0005381003883755168
24,12,5,7,0.4418604651162791,0.0004914847127807775
25,7,2,5,0.1111111111111111,0.00016979146269633576
26,26,17,9,0.3,0.0014704419859295763
27,20,11,9,0.23648648648648649,0.0005891731502076837
28,9,3,6,0.4,0.00015092295208194383
29,5,0,5,0.35,6.45240993381665e-05
30,16,9,7,0.33707865168539325,0.0003266729697479122
31,71,48,23,0.1215113782739373,0.003609743826163856
32,27,22,5,0.09060402684563758,0.0009116378327902254
33,3,1,2,0.0,0.0001122234006173161
34,9,2,7,0.3088235294117647,0.00011706967875810598
35,2,0,2,1.0,6.45240993381665e-05
36,6,2,4,0.7307692307692307,0.00010827555444545224
37,6,3,3,0.5,0.00013128746121720218
38,1,0,1,0.0,6.45240993381665e-05
39,7,3,4,0.6111111111111112,0.00013895809680778548
40,3,0,3,0.16666666666666666,6.45240993381665e-05
41,15,5,10,0.1118421052631579,0.00024815945219842385
42,6,0,6,0.1,6.45240993381665e-05
43,105,85,20,0.033223201174743026,0.0029905684781445893
44,8,1,7,0.6333333333333333,7.344255600195866e-05
45,4,1,3,0.0,9.003564603751244e-05
46,21,7,14,0.30303030303030304,0.00023261025259006186
47,45,30,15,0.20123318385650224,0.0009397065067807546
48,12,5,7,0.5238095238095238,0.0002061690404030642
49,20,9,11,0.25,0.0003504313428671782
50,7,5,2,0.05,0.0003992739099435139
51,8,2,6,0.21428571428571427,0.00022355655074750936
52,31,23,8,0.1970074812967581,0.0020422858264000396
53,4,0,4,0.16666666666666666,6.45240993381665e-05
54,4,0,4,0.3333333333333333,6.45240993381665e-05
55,1,0,1,0.0,6.45240993381665e-05
56,8,3,5,0.38461538461538464,0.00011961958764385455
57,13,6,7,0.07407407407407407,0.00022776603597091617
58,18,10,8,0.10084033613445378,0.00038667879485944
59,3,0,3,0.3333333333333333,6.45240993381665e-05
60,7,3,4,0.5526315789473685,0.00019247142028228212
61,39,24,15,0.21232876712328766,0.0007828172615129731
62,4,0,4,0.4166666666666667,6.45240993381665e-05
63,41,30,11,0.06802721088435375,0.0012097707442284146
64,13,5,8,0.5540540540540541,0.00013702500571409482
65,2,0,2,1.0,6.45240993381665e-05
66,18,9,9,0.2966666666666667,0.0002881242692567788
67,7,4,3,0.7105263157894737,0.00019245707599901583
68,71,44,27,0.0775477060495331,0.0014715228303896315
69,65,55,10,0.07058521560574949,0.002899213899978479
70,17,9,8,0.5392156862745098,0.0012706167917085423
71,21,9,12,0.08771929824561403,0.00040256136719433
72,5,0,5,0.35,6.45240993381665e-05
73,21,5,16,0.24271844660194175,0.00017504969429525243
74,3,1,2,0.3333333333333333,7.409164262880253e-05
75,43,29,14,0.13534675615212527,0.0010760519206250028
76,16,7,9,0.25,0.0005294388497473136
77,14,9,5,0.15873015873015872,0.0010745059597544297
78,9,3,6,0.631578947368421,0.00023761423864806537
79,23,9,14,0.1796116504854369,0.0011153951565660305
80,11,2,9,0.027777777777777776,0.0001012973667340646
81,15,3,12,0.1118421052631579,0.00020457722801609288
82,7,2,5,0.9473684210526315,0.00019629377265806513
83,6,3,3,0.16666666666666666,0.00013654081270356175
84,13,6,7,0.88,0.00018621271994127746
85,20,13,7,0.16489361702127658,0.000471260997711032
86,2,1,1,0.0,0.00010909669470694671
87,4,1,3,0.08333333333333333,7.874188179726269e-05
88,34,22,12,0.044444444444444446,0.0006694249420943659
89,41,27,14,0.11716621253405994,0.0020957257841714167
90,36,29,7,0.09874326750448834,0.002098607447403514
91,17,8,9,0.8775510204081632,0.0004005614183959949
92,17,6,11,0.35877862595419846,0.00017913506371126822
93,10,2,8,0.23214285714285715,9.26514925682195e-05
94,3,0,3,0.16666666666666666,6.45240993381665e-05
95,12,3,9,0.08888888888888889,0.00013519104227582645
96,6,1,5,0.17857142857142858,0.00019166347697754607
97,6,3,3,0.16666666666666666,0.0001982348434286331
98,4,1,3,0.8,0.0001109216319869509
99,16,7,9,0.0811965811965812,0.0003824093430715553
100,20,6,14,0.2733333333333333,0.00029870065600157906
101,22,8,14,0.23783783783783785,0.0003969683966565366
102,5,2,3,0.3333333333333333,0.00017770605825034055
103,9,3,6,0.225,0.00010763310838842396
104,19,9,10,0.37786259541984735,0.0002283041740152097
105,2,1,1,0.0,0.0004291135815339865
106,14,3,11,0.1853932584269663,0.00013353569127581703
107,30,21,9,0.15775401069518716,0.0020170307338759534
108,10,1,9,0.5681818181818182,0.00023897180696990473
109,18,8,10,0.8008849557522124,0.0004005614183959949
110,22,8,14,0.41294642857142855,0.0003931924118818146
111,6,2,4,0.3,9.471691668046876e-05
112,6,2,4,0.9166666666666666,0.00015476338775258794
113,18,7,11,0.30405405405405406,0.00024821197990806287
114,13,5,8,0.4326923076923077,0.0001552990012161443
115,4,1,3,0.0,0.00015726280578995397
116,13,9,4,0.21818181818181817,0.00029355745391990807
117,17,14,3,0.24253731343283583,0.0005957072589174307
118,6,2,4,0.4642857142857143,0.00010269982090236495
119,43,21,22,0.11689038031319911,0.0015326248587053148
120,11,2,9,0.3142857142857143,0.000126581742712082
121,8,2,6,0.35185185185185186,0.00013980654192822015
122,4,1,3,0.4,0.0001109216319869509
123,7,5,2,0.2,0.0005151131638947498
124,48,32,16,0.14961013645224172,0.001953732429073528
125,14,7,7,0.7049180327868853,0.0004399291886051077
126,3,2,1,0.0,0.0005884573511930449
127,5,1,4,0.5,8.193652845627633e-05
128,15,7,8,0.6027397260273972,0.0003711409363171334
129,11,5,6,0.07407407407407407,0.00019238853622974796
130,2,1,1,0.0,0.0004291135815339865
131,3,2,1,0.0,0.0004926905425434396
132,5,0,5,0.2,6.45240993381665e-05
133,17,9,8,0.3217821782178218,0.00035946311357911375
134,1,0,1,0.0,6.45240993381665e-05
135,7,3,4,0.34210526315789475,0.000135607871533892
136,24,15,9,0.06986899563318777,0.0008578634782244414
137,6,1,5,0.6428571428571429,0.000254906488098527
138,3,1,2,0.0,0.0001122234006173161
139,12,6,6,0.21875,0.0007881756108816195
140,15,11,4,0.05263157894736842,0.0009555830923108106
141,10,2,8,0.4883720930232558,0.00018710057036289558
142,10,3,7,0.45348837209302323,0.0003655832768234096
143,5,1,4,0.5,0.0001109216319869509
144,4,1,3,0.08333333333333333,9.601461166419945e-05
145,9,3,6,0.3157894736842105,0.00019359605466564938
146,48,26,22,0.1432408236347359,0.0009835818383200068
147,14,5,9,0.6918604651162791,0.00012291889757742888
148,11,2,9,0.14814814814814814,9.061136040586627e-05
149,7,1,6,0.15,7.517432005016391e-05
150,5,2,3,0.16666666666666666,0.00010916930606202189
151,13,5,8,0.7671232876712328,0.00012160696333410808
152,1,0,1,0.0,6.45240993381665e-05
153,15,7,8,0.6575342465753424,0.00022322764634776328
154,7,4,3,0.5,0.0005978142011934288
155,16,8,8,0.4482758620689655,0.0008960840442599438
156,4,0,4,0.16666666666666666,6.45240993381665e-05
157,7,3,4,0.5,0.0005559729300763906
158,3,0,3,0.0,6.45240993381665e-05
159,20,10,10,0.613013698630137,0.0005319617488830199
160,30,17,13,0.13672922252010725,0.0007710613337277335
161,13,6,7,0.88,0.00018621271994127744
162,8,2,6,0.5,0.00020557198856056158
163,8,0,8,0.19642857142857142,6.45240993381665e-05
164,10,3,7,0.2037037037037037,0.0001147130146344917
165,13,5,8,0.7671232876712328,0.00012160696333410808
166,6,1,5,0.23333333333333334,8.864223736438284e-05
167,15,7,8,0.400990099009901,0.00027142970811055306
168,4,2,2,0.5,0.0001152306392093103
169,2,1,1,0.0,0.00011256605231831595
170,10,2,8,0.1111111111111111,9.471691668046876e-05
171,17,6,11,0.61,0.00013452982568294924
172,12,4,8,0.5080645161290323,0.00012860954483817606
173,9,5,4,0.5,0.0003641430668282376
174,8,3,5,0.16666666666666666,0.00012468841882812582
175,9,2,7,0.5588235294117647,0.00012023282238799953
176,12,5,7,0.13636363636363635,0.0003162307324211948
177,12,3,9,0.2777777777777778,0.0006630690168375499
178,10,1,9,0.2857142857142857,7.125395797641472e-05
179,15,9,6,0.35294117647058826,0.0002762118328640643
180,15,7,8,0.30666666666666664,0.0001818523235746622
181,29,15,14,0.19924812030075187,0.00042418104051909663
182,14,5,9,0.6918604651162791,0.00012291889757742888
183,14,5,9,0.29310344827586204,0.0002005863382792818
184,3,0,3,0.3333333333333333,6.45240993381665e-05
185,39,27,12,0.15940054495912806,0.0024645762506432345
186,15,6,9,0.29207920792079206,0.00028292733414045455
187,6,2,4,0.4,0.00011666462330335781
188,15,5,10,0.61,0.00012398900561647803
189,8,3,5,0.25,0.00014764010410799668
190,3,1,2,0.0,8.280671854356432e-05
191,2,1,1,0.0,0.0004291135815339865
192,1,0,1,0.0,6.45240993381665e-05
193,4,1,3,0.0,9.003564603751244e-05
194,5,2,3,0.1111111111111111,0.0001911100232076982
195,6,2,4,0.8461538461538461,0.00029139942107626643
196,21,11,10,0.2874251497005988,0.0012482618470267834
197,2,1,1,0.0,0.0004291135815339865
198,1,0,1,0.0,6.45240993381665e-05
199,5,1,4,0.0,8.193652845627633e-05
200,6,3,3,0.0,0.00031005511446042085
201,7,1,6,0.1,7.517432005016391e-05
202,3,0,3,1.0,6.45240993381665e-05
203,4,2,2,0.0,0.00012812316771036597
204,4,0,4,0.16666666666666666,6.45240993381665e-05
205,6,4,2,0.2,0.0007407601100174459
206,8,1,7,0.7666666666666667,7.344255600195866e-05
207,4,2,2,0.25,0.00010966332080942035
208,2,1,1,1.0,9.148659858659545e-05
209,3,1,2,0.0,9.255408279380963e-05
210,9,2,7,0.125,0.00011904687494946115
211,3,1,2,0.0,0.0001122234006173161
212,2,1,1,0.0,0.0004291135815339865
213,14,5,9,0.375,0.0003988622688298298
214,1,0,1,0.0,6.45240993381665e-05
215,8,2,6,0.16666666666666666,0.00015491435140473246
216,28,13,15,0.303125,0.0008941745602528613
217,13,3,10,0.21333333333333335,0.00015670526918666486
218,12,7,5,0.046153846153846156,0.00021670824277787034
